Current Loan Amount,Credit Score,Annual Income,Years in current job,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Given
218834.0,742.0,1077262.0,3,0,19390.64,24.5,29.0,37.0,0.0,212800.0,502876.0,0.0,0.0,True
108152.0,705.0,747156.0,4,1,20235.38,19.9,15.0,14.0,0.0,174344.0,348062.0,0.0,0.0,False
211156.0,717.0,1177848.0,5,0,14173.24,18.7,78.0,7.0,0.0,276754.0,494538.0,0.0,0.0,True
120736.0,725.0,1137606.0,0,2,6598.13,16.3,5.0,14.0,0.0,144704.0,504680.0,0.0,0.0,True
359700.0,713.0,1941610.0,10,0,26697.09,22.2,72.0,9.0,0.0,539030.0,762058.0,0.0,0.0,True
782254.0,634.0,3223445.0,10,1,24740.09,15.1,65.0,10.0,1.0,44327.0,255310.0,1.0,0.0,False
21670.0,713.0,805068.0,10,0,7782.4,17.4,36.0,21.0,0.0,87799.0,612370.0,0.0,0.0,True
431640.0,722.0,2329875.0,4,0,21551.32,22.6,55.0,12.0,0.0,238621.0,325820.0,0.0,0.0,False
340186.0,652.0,1700424.0,10,0,20688.53,31.5,33.0,9.0,0.0,193971.0,271260.0,0.0,0.0,True
445852.0,745.0,1867510.0,1,0,35949.52,10.1,40.0,13.0,0.0,205770.0,505868.0,0.0,0.0,True
377740.0,652.0,1039338.0,7,1,16196.36,17.7,77.0,9.0,0.0,248007.0,483428.0,0.0,0.0,False
221782.0,732.0,2777325.0,10,0,31013.51,22.0,3.0,10.0,0.0,198493.0,314842.0,0.0,0.0,False
145684.0,693.0,813010.0,4,3,25135.29,14.1,52.0,16.0,1.0,75050.0,297594.0,0.0,0.0,True
646272.0,710.0,2232576.0,5,0,26046.72,17.7,26.0,16.0,0.0,361285.0,712668.0,0.0,0.0,True
713152.0,617.0,3041520.0,3,4,28134.06,8.0,21.0,6.0,0.0,28424.0,144958.0,0.0,0.0,False
225126.0,719.0,1788736.0,7,3,15055.03,19.3,61.0,21.0,0.0,329593.0,529320.0,0.0,0.0,True
391930.0,717.0,1438528.0,8,0,29250.12,14.8,7.0,24.0,0.0,155781.0,784212.0,0.0,0.0,True
323246.0,707.0,1004967.0,1,0,13005.88,15.3,30.0,5.0,0.0,189715.0,241384.0,0.0,0.0,False
174416.0,743.0,2027718.0,1,0,28050.08,20.9,14.0,15.0,0.0,124716.0,465828.0,0.0,0.0,True
76582.0,741.0,1228331.0,10,0,5476.37,15.0,75.0,5.0,1.0,20406.0,74316.0,1.0,0.0,True
158202.0,688.0,1328271.0,5,0,18595.87,9.2,40.0,13.0,1.0,72694.0,252780.0,0.0,1.0,False
155100.0,746.0,1160444.0,6,0,15666.07,31.2,25.0,9.0,0.0,96330.0,290444.0,0.0,0.0,True
246532.0,704.0,1612264.0,3,0,19481.27,14.3,22.0,8.0,0.0,94088.0,178002.0,0.0,0.0,True
